destination,commodity_form,year,shipments
Grimsby,pit props,1895,53
Grimsby,sleepers,1895,53
King's Lynn,boards,1881,53
Leith,staves,1891,53
Liverpool,deal ends,1891,53
Liverpool,staves,1884,53
London,lathwood,1895,53
London,rickers,1883,53
Tyne Ports,deals,1891,53
Yarmouth,deals,1881,53
Barrow-in-Furness,deals,1883,52
Glasgow,logs,1889,52
Goole,hoops,1897,52
Hartlepool (West),mining timber,1877,52
Hull,hoops,1891,52
Leith,staves,1883,52
Liverpool,ends,1891,52
Liverpool,logs,1887,52
Liverpool,timber,1895,52
London,laths,1897,52
Middlesbrough,pit props,1883,52
Newport,pit props,1883,52
Tyne Ports,mining timber,1893,52
WISBECH,battens,1881,52
Yarmouth,deals,1899,52
Cardiff,deals,1891,51
Dundee,deals,1874,51
Glasgow,logs,1883,51
Glasgow,logs,1899,51
Grangemouth,ends,1883,51
Grangemouth,staves,1897,51
Grimsby,laths,1899,51
Hartlepool (West),mining timber,1881,51
Hull,firewood,1883,51
Hull,mining timber,1887,51
Kirkcaldy,pit props,1887,51
Liverpool,firewood,1895,51
Liverpool,pit props,1889,51
London,blocks,1895,51
London,planks,1883,51
London,planks,1899,51
Rochester,staves,1889,51
Sunderland,deals,1877,51
Sunderland,deals,1887,51
Yarmouth,deals,1895,51
Cardiff,deals,1899,50
Granton,pit props,1899,50
Greenock,deals,1891,50
Grimsby,boards,1893,50
Hull,staves,1897,50
King's Lynn,deals,1899,50
Leith,battens,1887,50
Liverpool,deal ends,1899,50
Liverpool,scantlings,1874,50
Liverpool,timber,1893,50
Montrose,battens,1885,50
Newcastle upon Tyne,mining timber,1877,50
Tyne Ports,boards,1881,50
Tyne Ports,wood pulp,1899,50
WISBECH,deals,1891,50
Borrowstounness,pitwood,1893,49
Bristol,boards,1887,49
Cardiff,deals,1887,49
Cardiff,pit props,1885,49
Dundee,deals,1881,49
Fleetwood,deals,1889,49
Goole,hoops,1891,49
Grangemouth,timber,1875,49
Hull,staves,1881,49
Liverpool,boards,1874,49
Liverpool,scantlings,1885,49
London,blocks,1891,49
London,boards,1875,49
London,lumber,1885,49
London,shooks,1899,49
Tyne Ports,wood,1881,49
Yarmouth,boards,1895,49
Cardiff,deals,1893,48
Glasgow,wood,1889,48
Grangemouth,timber,1889,48
Greenock,deals,1887,48
Hartlepool,deals,1899,48
Hartlepool (West),poles,1883,48
Hartlepool (West),timber,1881,48
Hull,bobbins,1895,48
Hull,ends,1897,48
Hull,timber,1875,48
Leith,deals,1887,48
Liverpool,blocks,1897,48
Liverpool,mouldings,1891,48
Liverpool,pit props,1893,48
Liverpool,wood,1885,48
London,doors,1887,48
London,oars,1887,48
London,planks,1891,48
Tyne Ports,mining timber,1883,48
Yarmouth,boards,1899,48
Belfast,hoops,1885,47
Dundee,battens,1891,47
Glasgow,boards,1899,47
Hartlepool (West),mining timber,1889,47
Hull,rickers,1895,47
London,blocks,1887,47
London,wood,1895,47
Sunderland,battens,1881,47
Sunderland,battens,1889,47
Tyne Ports,mining timber,1891,47
WISBECH,battens,1883,47
